Genus,Class,Order,Family
Brucepastera,Spirochaetia,Spirochaetales,Treponemataceae
Brumicola,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Buchananella,Actinomycetes,Actinomycetales,Actinomycetaceae
Buchnera,Gammaproteobacteria,Enterobacterales,Erwiniaceae
Bulleidia,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Burkholderia,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Buttiauxella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Butyricimonas,Bacteroidia,Bacteroidales,Odoribacteraceae
Butyrivibrio,Clostridia,Lachnospirales,Lachnospiraceae
Caballeronia,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Caenibius,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
Caenispirillum,Alphaproteobacteria,Rhodospirillales,Novispirillaceae
Caldalkalibacillus,Bacilli,Bacillales,Bacillaceae
Caldanaerobacter,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae
Caldibacillus,Bacilli,Bacillales,Bacillaceae
Caldicellulosiruptor,Unknown,Caldicellulosiruptorales,Caldicellulosiruptoraceae
Caldichromatium,Gammaproteobacteria,Chromatiales,Chromatiaceae
Caldifermentibacillus,Bacilli,Bacillales,Bacillaceae
Caldilinea,Caldilineae,Caldilineales,Caldilineaceae
Caldimicrobium,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae
Caldimonas,Betaproteobacteria,Burkholderiales,Sphaerotilaceae
Caldinitratiruptor,Clostridia,Eubacteriales,Symbiobacteriaceae
Caldisericum,Caldisericia,Caldisericales,Caldisericaceae
Caldisphaera,Thermoprotei,Acidilobales,Caldisphaeraceae
Calditerrivibrio,Deferribacteres,Deferribacterales,Calditerrivibrionaceae
Caldithrix,Calditrichia,Calditrichales,Calditrichaceae
Caldivirga,Thermoprotei,Thermoproteales,Thermoproteaceae
Caloramator,Clostridia,Eubacteriales,Clostridiaceae
Caloranaerobacter,Tissierellia,Tissierellales,Thermohalobacteraceae
Calothrix,Cyanophyceae,Nostocales,Calotrichaceae
Caminibacter,Epsilonproteobacteria,Nautiliales,Nautiliaceae
Caminicella,Clostridia,Peptostreptococcales,Caminicellaceae
Campylobacter,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae
Candidatus Absconditicoccus,Unknown,Candidatus Absconditabacterales,Candidatus Absconditicoccaceae
Candidatus Accumulibacter,Betaproteobacteria,Unknown,Unknown
Candidatus Aciduliprofundum,Unknown,Unknown,Unknown
Candidatus Amoebophilus,Cytophagia,Cytophagales,Amoebophilaceae
Candidatus Annandia,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Arcticimaribacter,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Candidatus Arthromitus,Clostridia,Eubacteriales,Clostridiaceae
Candidatus Atelocyanobacterium,Cyanophyceae,Chroococcales,Aphanothecaceae
Candidatus Azoamicus,Gammaproteobacteria,Unknown,Candidatus Azoamicaceae
Candidatus Azobacteroides,Bacteroidia,Bacteroidales,Unknown
Candidatus Babela,Candidatus Babeliae,Candidatus Babeliales,Candidatus Babeliaceae
Candidatus Bandiella,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae
Candidatus Bipolaricaulis,Candidatus Bipolaricaulia,Candidatus Bipolaricaulales,Candidatus Bipolaricaulaceae
Candidatus Blochmanniella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Bodocaedibacter,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae
Candidatus Cardinium,Cytophagia,Cytophagales,Amoebophilaceae
Candidatus Carsonella,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
Candidatus Chlorohelix,Chloroflexia,Candidatus Chloroheliales,Candidatus Chloroheliaceae
Candidatus Chromulinivorax,Candidatus Babeliae,Candidatus Babeliales,Candidatus Chromulinivoraceae
Candidatus Cloacimonas,Candidatus Cloacimonadia,Candidatus Cloacimonadales,Candidatus Cloacimonadaceae
Candidatus Comchoanobacter,Gammaproteobacteria,Candidatus Comchoanobacterales,Candidatus Comchoanobacteraceae
Candidatus Contubernalis,Dethiobacteria,Dethiobacterales,Dethiobacteraceae
Candidatus Curculioniphilus,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Cytomitobacter,Alphaproteobacteria,Holosporales,Holosporaceae
Candidatus Desulforudis,Clostridia,Thermoanaerobacterales,Candidatus Desulforudaceae
Candidatus Doolittlea,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Endolissoclinum,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
Candidatus Endomicrobiellum,Endomicrobiia,Endomicrobiales,Endomicrobiaceae
Candidatus Endoriftia,Gammaproteobacteria,Chromatiales,Sedimenticolaceae
Candidatus Endowatersipora,Alphaproteobacteria,Hyphomicrobiales,Unknown
Candidatus Fervidibacter,Unknown,Unknown,Unknown
Candidatus Fokinia,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae
Candidatus Fonsibacter,Alphaproteobacteria,Candidatus Pelagibacterales,Unknown
Candidatus Formimonas,Clostridia,Eubacteriales,Peptococcaceae
Candidatus Fukatsuia,Gammaproteobacteria,Enterobacterales,Yersiniaceae
Candidatus Gromoviella,Alphaproteobacteria,Holosporales,Holosporaceae
Candidatus Gullanella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Hepatoplasma,Mollicutes,Mycoplasmatales,Candidatus Hepatoplasmataceae
Candidatus Hoaglandella,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
Candidatus Hydrogenosomobacter,Alphaproteobacteria,Holosporales,Holosporaceae
